Bangladesh	Total	Male	Female
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1979			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1980			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1981			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1982			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1983			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1984			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1985			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1986			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1987			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1988			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1989			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1990			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1991			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1992			
 0-4	0.018272	0.009339	0.008933
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.112411	1.015173	0.097238
 20-24 	1.092858	1.022263	0.070594
 25-29 	0.992950	0.940519	0.052431
 30-34 	0.851667	0.819898	0.031769
 35-39 	0.584679	0.563691	0.020988
 40-44 	0.381926	0.367730	0.014196
 45-49 	0.213778	0.205084	0.008694
 50-54 	0.079461	0.076482	0.002979
 55-59 	0.030292	0.029940	0.000352
 60-64 	0.002482	0.002478	0.000004
 65-69 	0.000502	0.000498	0.000003
 70-74 	0.000023	0.000023	0.000000
 75-79 	0.000235	0.000232	0.000003
 80+ 	0.000000	0.000000	0.000000
Total	5.361537	5.053352	0.308185
1993			
 0-4	0.056675	0.028960	0.027715
 5-9	0.001472	0.000752	0.000720
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.978794	1.759318	0.219476
 20-24 	2.254166	2.069189	0.184977
 25-29 	2.025824	1.891755	0.134070
 30-34 	1.758094	1.674423	0.083672
 35-39 	1.238203	1.183187	0.055016
 40-44 	0.803079	0.766904	0.036175
 45-49 	0.453101	0.430849	0.022252
 50-54 	0.179533	0.171121	0.008412
 55-59 	0.065934	0.064776	0.001157
 60-64 	0.008322	0.008305	0.000016
 65-69 	0.000863	0.000855	0.000008
 70-74 	0.000161	0.000160	0.000001
 75-79 	0.000451	0.000443	0.000008
 80+ 	0.000000	0.000000	0.000000
Total	10.824671	10.050997	0.773674
1994			
 0-4	0.154141	0.078764	0.075377
 5-9	0.007878	0.004024	0.003855
 10-14 	0.000280	0.000143	0.000137
 15-19 	3.862302	3.307734	0.554569
 20-24 	4.570076	4.088480	0.481596
 25-29 	4.099548	3.749618	0.349929
 30-34 	3.617788	3.394412	0.223376
 35-39 	2.595380	2.445757	0.149623
 40-44 	1.660902	1.566532	0.094370
 45-49 	0.932599	0.875363	0.057236
 50-54 	0.379005	0.356391	0.022614
 55-59 	0.138417	0.135081	0.003336
 60-64 	0.020216	0.020161	0.000055
 65-69 	0.001634	0.001614	0.000020
 70-74 	0.000387	0.000383	0.000003
 75-79 	0.000861	0.000841	0.000020
 80+ 	0.000021	0.000021	0.000000
Total	22.041436	20.025320	2.016116
1995			
 0-4	0.521527	0.266537	0.254990
 5-9	0.024338	0.012432	0.011906
 10-14 	0.001706	0.000871	0.000834
 15-19 	11.616858	9.498436	2.118422
 20-24 	12.757936	11.011304	1.746632
 25-29 	11.453579	10.176222	1.277357
 30-34 	10.241086	9.412182	0.828904
 35-39 	7.424602	6.848766	0.575836
 40-44 	4.652016	4.305313	0.346703
 45-49 	2.555048	2.351196	0.203852
 50-54 	1.021067	0.940843	0.080223
 55-59 	0.377080	0.365404	0.011675
 60-64 	0.051096	0.050905	0.000190
 65-69 	0.004906	0.004829	0.000076
 70-74 	0.000831	0.000821	0.000010
 75-79 	0.002425	0.002350	0.000075
 80+ 	0.000053	0.000052	0.000001
Total	62.706152	55.248466	7.457686
1996			
 0-4	3.717036	1.900049	1.816988
 5-9	0.062881	0.032126	0.030756
 10-14 	0.001670	0.000853	0.000817
 15-19 	85.383167	66.616589	18.766577
 20-24 	83.951082	69.592846	14.358236
 25-29 	74.251863	63.730638	10.521225
 30-34 	67.076370	60.175585	6.900785
 35-39 	49.129348	44.120552	5.008796
 40-44 	30.051258	27.145857	2.905401
 45-49 	15.994332	14.354514	1.639817
 50-54 	6.085312	5.462154	0.623158
 55-59 	2.279450	2.195121	0.084329
 60-64 	0.234452	0.233337	0.001115
 65-69 	0.033552	0.032879	0.000673
 70-74 	0.002917	0.002873	0.000044
 75-79 	0.016344	0.015693	0.000651
 80+ 	0.000056	0.000055	0.000001
Total	418.271091	355.611720	62.659370
1997			
 0-4	7.747676	3.959636	3.788039
 5-9	0.425244	0.217281	0.207963
 10-14 	0.002994	0.001526	0.001468
 15-19 	118.113595	90.082499	28.031096
 20-24 	142.492722	115.549108	26.943614
 25-29 	119.206553	100.743616	18.462937
 30-34 	109.719143	97.178998	12.540145
 35-39 	82.976235	73.947560	9.028675
 40-44 	51.237114	45.851452	5.385662
 45-49 	27.644209	24.662554	2.981655
 50-54 	10.855511	9.653060	1.202451
 55-59 	3.965937	3.766168	0.199769
 60-64 	0.590684	0.587034	0.003649
 65-69 	0.046480	0.045477	0.001003
 70-74 	0.012127	0.011845	0.000282
 75-79 	0.024739	0.023661	0.001078
 80+ 	0.000385	0.000375	0.000010
Total	675.061346	566.281850	108.779495
1998			
 0-4	12.715372	6.498546	6.216826
 5-9	0.966550	0.493853	0.472697
 10-14 	0.010703	0.005457	0.005246
 15-19 	153.453977	113.798800	39.655176
 20-24 	211.927497	168.137852	43.789645
 25-29 	173.832909	144.325644	29.507265
 30-34 	161.198780	140.795112	20.403669
 35-39 	124.956053	110.285839	14.670214
 40-44 	78.479101	69.478600	9.000501
 45-49 	42.351085	37.511424	4.839661
 50-54 	17.002257	14.985531	2.016727
 55-59 	6.163804	5.777021	0.386783
 60-64 	1.125664	1.115684	0.009980
 65-69 	0.063416	0.061925	0.001492
 70-74 	0.023579	0.023023	0.000556
 75-79 	0.032592	0.031009	0.001583
 80+ 	0.002336	0.002256	0.000080
Total	984.305674	813.327574	170.978100
1999			
 0-4	19.098153	9.761561	9.336592
 5-9	1.728010	0.883100	0.844910
 10-14 	0.032537	0.016594	0.015943
 15-19 	190.022220	136.549818	53.472402
 20-24 	295.121084	228.818523	66.302561
 25-29 	241.687947	196.983445	44.704502
 30-34 	220.133371	189.345639	30.787732
 35-39 	175.758292	153.473219	22.285073
 40-44 	112.658107	98.554682	14.103425
 45-49 	60.323113	52.988377	7.334737
 50-54 	24.614245	21.512361	3.101884
 55-59 	8.852276	8.189738	0.662539
 60-64 	1.859282	1.834825	0.024457
 65-69 	0.100473	0.098292	0.002181
 70-74 	0.036375	0.035488	0.000888
 75-79 	0.040874	0.038659	0.002216
 80+ 	0.004886	0.004702	0.000183
Total	1352.071246	1099.089023	252.982223
2000			
 0-4	27.237343	13.923211	13.314132
 5-9	2.905171	1.484949	1.420222
 10-14 	0.111723	0.056991	0.054732
 15-19 	230.844179	160.391374	70.452804
 20-24 	392.464774	297.026251	95.438522
 25-29 	322.464744	257.540791	64.923954
 30-34 	291.055934	246.254667	44.801267
 35-39 	237.090515	204.598119	32.492395
 40-44 	154.919166	133.789580	21.129586
 45-49 	82.228092	71.530726	10.697366
 50-54 	33.774277	29.267621	4.506656
 55-59 	12.069356	11.029796	1.039560
 60-64 	2.782997	2.730852	0.052145
 65-69 	0.168074	0.164918	0.003156
 70-74 	0.047334	0.045907	0.001426
 75-79 	0.049581	0.046590	0.002991
 80+ 	0.008447	0.008097	0.000350
Total	1790.221707	1429.890441	360.331266
2001			
 0-4	37.123285	18.978705	18.144580
 5-9	4.805814	2.456366	2.349448
 10-14 	0.363775	0.185111	0.178664
 15-19 	278.648323	187.477930	91.170393
 20-24 	498.003839	367.262062	130.741778
 25-29 	422.796171	330.818460	91.977712
 30-34 	369.248051	306.955631	62.292420
 35-39 	307.359954	261.853707	45.506246
 40-44 	205.331380	174.973093	30.358287
 45-49 	108.457115	93.289204	15.167910
 50-54 	44.541381	38.264162	6.277219
 55-59 	15.799094	14.272539	1.526554
 60-64 	3.867495	3.768901	0.098594
 65-69 	0.282047	0.277463	0.004584
 70-74 	0.060799	0.058807	0.001992
 75-79 	0.060687	0.056698	0.003989
 80+ 	0.011626	0.011087	0.000539
Total	2296.760836	1800.959927	495.800909
2002			
 0-4	47.452325	24.261261	23.191064
 5-9	7.926989	4.052564	3.874425
 10-14 	0.920970	0.469073	0.451897
 15-19 	313.405898	204.074350	109.331548
 20-24 	604.485947	434.142629	170.343318
 25-29 	529.582934	405.929808	123.653126
 30-34 	449.467846	366.848696	82.619150
 35-39 	380.724603	320.226944	60.497659
 40-44 	259.266023	218.123410	41.142612
 45-49 	137.575199	116.914721	20.660479
 50-54 	56.232002	47.901809	8.330193
 55-59 	19.801707	17.682251	2.119456
 60-64 	5.090634	4.920949	0.169685
 65-69 	0.448512	0.441825	0.006686
 70-74 	0.074520	0.071859	0.002662
 75-79 	0.070347	0.065372	0.004975
 80+ 	0.016115	0.015281	0.000833
Total	2812.542570	2166.142802	646.399768
2003			
 0-4	58.755037	30.042354	28.712684
 5-9	12.005291	6.138549	5.866742
 10-14 	1.746028	0.889579	0.856449
 15-19 	349.638683	220.663233	128.975451
 20-24 	707.191163	494.194837	212.996326
 25-29 	645.582472	484.418230	161.164241
 30-34 	535.259122	428.643170	106.615952
 35-39 	456.989791	379.119563	77.870229
 40-44 	317.316713	263.573435	53.743278
 45-49 	170.530648	143.018132	27.512516
 50-54 	68.946861	58.218306	10.728555
 55-59 	24.184893	21.357902	2.826991
 60-64 	6.418249	6.149458	0.268790
 65-69 	0.670755	0.660382	0.010373
 70-74 	0.089869	0.086524	0.003345
 75-79 	0.081257	0.075170	0.006087
 80+ 	0.020008	0.018852	0.001156
Total	3355.426840	2537.267676	818.159164
2004			
 0-4	70.710668	36.157678	34.552990
 5-9	17.241157	8.816848	8.424309
 10-14 	2.912738	1.484251	1.428487
 15-19 	383.054539	234.355454	148.699084
 20-24 	805.978485	547.566461	258.412023
 25-29 	768.255483	563.916333	204.339149
 30-34 	631.325345	496.044103	135.281242
 35-39 	528.830463	432.155374	96.675088
 40-44 	378.531048	310.421919	68.109129
 45-49 	207.071365	171.244196	35.827169
 50-54 	82.629395	69.109573	13.519822
 55-59 	28.929450	25.274836	3.654614
 60-64 	7.827334	7.428919	0.398415
 65-69 	0.943170	0.926413	0.016758
 70-74 	0.111520	0.107451	0.004069
 75-79 	0.092004	0.084744	0.007260
 80+ 	0.024151	0.022609	0.001542
Total	3914.468315	2905.117163	1009.351151
2005			
 0-4	83.109878	42.500146	40.609732
 5-9	23.643107	12.091904	11.551202
 10-14 	4.587445	2.337997	2.249448
 15-19 	415.259970	246.347915	168.912055
 20-24 	899.568732	593.707638	305.861095
 25-29 	894.902384	641.936629	252.965755
 30-34 	725.834928	558.686836	167.148091
 35-39 	607.401825	488.663694	118.738131
 40-44 	443.256442	358.860208	84.396234
 45-49 	246.936872	201.277697	45.659175
 50-54 	97.579842	80.751311	16.828531
 55-59 	34.066414	29.463298	4.603116
 60-64 	9.306056	8.745365	0.560691
 65-69 	1.267184	1.240001	0.027183
 70-74 	0.139858	0.134929	0.004929
 75-79 	0.102410	0.093875	0.008536
 80+ 	0.028563	0.026573	0.001991
Total	4486.991910	3266.866016	1220.125894
2006			
 0-4	95.649211	48.914895	46.734315
 5-9	31.119589	15.917069	15.202520
 10-14 	6.977308	3.556638	3.420670
 15-19 	444.996810	256.031647	188.965164
 20-24 	988.989686	633.921049	355.068637
 25-29 	1018.932528	713.284446	305.648082
 30-34 	835.703752	630.592864	205.110889
 35-39 	679.191302	537.246050	141.945252
 40-44 	508.151613	406.063779	102.087833
 45-49 	290.204971	233.251659	56.953312
 50-54 	114.620818	93.782480	20.838338
 55-59 	39.885903	34.186095	5.699807
 60-64 	10.924910	10.163979	0.760930
 65-69 	1.655332	1.611843	0.043489
 70-74 	0.181577	0.175599	0.005978
 75-79 	0.113137	0.103274	0.009863
 80+ 	0.033457	0.030957	0.002500
