Incidence per 1000 by age and sex			
	south_africa_test		
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1976			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1977			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1978			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1979			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1980			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1981			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1982			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1983			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1984			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1985			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1986			
 0-4	0.004351	0.004378	0.004323
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.031706	0.024410	0.038959
 20-24 	0.084507	0.079689	0.089366
 25-29 	0.096568	0.101385	0.091719
 30-34 	0.089337	0.100507	0.078001
 35-39 	0.075087	0.086997	0.062956
 40-44 	0.059420	0.068298	0.050585
 45-49 	0.045324	0.050353	0.040481
 50-54 	0.033734	0.036593	0.030998
 55-59 	0.025350	0.028755	0.022101
 60-64 	0.020473	0.026311	0.015464
 65-69 	0.019137	0.026852	0.013377
 70-74 	0.019948	0.026075	0.015971
 75-79 	0.008452	0.017545	0.003751
 80+ 	0.000000	0.000000	0.000000
Total	0.037314	0.039259	0.035399
1987			
 0-4	0.018375	0.018485	0.018264
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.093010	0.068355	0.117466
 20-24 	0.245883	0.223019	0.268823
 25-29 	0.279935	0.283883	0.275978
 30-34 	0.258127	0.281399	0.234677
 35-39 	0.216737	0.243635	0.189478
 40-44 	0.171640	0.191196	0.152185
 45-49 	0.131221	0.141025	0.121810
 50-54 	0.097714	0.102438	0.093250
 55-59 	0.073301	0.080494	0.066508
 60-64 	0.059134	0.073660	0.046532
 65-69 	0.055176	0.075178	0.040261
 70-74 	0.057887	0.073007	0.048101
 75-79 	0.024206	0.049091	0.011230
 80+ 	0.000000	0.000000	0.000000
Total	0.109518	0.111227	0.107841
1988			
 0-4	0.055879	0.056203	0.055550
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.251551	0.177695	0.324740
 20-24 	0.661666	0.580597	0.742632
 25-29 	0.751020	0.739362	0.762669
 30-34 	0.690683	0.732886	0.648410
 35-39 	0.579227	0.634466	0.523481
 40-44 	0.459133	0.497955	0.420508
 45-49 	0.351557	0.367238	0.336514
 50-54 	0.262023	0.266749	0.257599
 55-59 	0.196201	0.209571	0.183715
 60-64 	0.158111	0.191783	0.128551
 65-69 	0.147342	0.195736	0.111218
 70-74 	0.155282	0.190068	0.132872
 75-79 	0.064476	0.127848	0.031097
 80+ 	0.000000	0.000000	0.000000
Total	0.296295	0.292107	0.300399
1989			
 0-4	0.148354	0.149191	0.147504
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.620915	0.424778	0.815559
 20-24 	1.629827	1.391463	1.867016
 25-29 	1.844924	1.772000	1.917736
 30-34 	1.693044	1.756485	1.629748
 35-39 	1.417990	1.520020	1.315328
 40-44 	1.125272	1.193580	1.057182
 45-49 	0.862137	0.879538	0.845399
 50-54 	0.643334	0.639133	0.647244
 55-59 	0.480845	0.501890	0.461395
 60-64 	0.386981	0.459300	0.322992
 65-69 	0.360517	0.468753	0.279333
 70-74 	0.381035	0.455085	0.333520
 75-79 	0.157813	0.306450	0.078890
 80+ 	0.000000	0.000000	0.000000
Total	0.733452	0.705755	0.760566
1990			
 0-4	0.354400	0.356368	0.352402
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.386569	0.924556	1.846983
 20-24 	3.635037	3.026887	4.235869
 25-29 	4.100468	3.850671	4.349099
 30-34 	3.754822	3.816830	3.693318
 35-39 	3.140216	3.301123	2.979398
 40-44 	2.494700	2.593609	2.396229
 45-49 	1.911268	1.908547	1.913896
 50-54 	1.427985	1.387672	1.465514
 55-59 	1.065524	1.088947	1.043996
 60-64 	0.856187	0.996587	0.731250
 65-69 	0.798324	1.017050	0.632038
 70-74 	0.845277	0.987128	0.753978
 75-79 	0.349797	0.665612	0.180724
 80+ 	0.000000	0.000000	0.000000
Total	1.643765	1.546796	1.738587
1991			
 0-4	0.762591	0.766780	0.758337
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	2.765076	1.792252	3.735952
 20-24 	7.234214	5.867919	8.583488
 25-29 	8.139450	7.467778	8.806364
 30-34 	7.436688	7.401883	7.471044
 35-39 	6.208740	6.396972	6.022056
 40-44 	4.935290	5.026719	4.844610
 45-49 	3.780072	3.693095	3.864350
 50-54 	2.827093	2.686010	2.958793
 55-59 	2.106181	2.106333	2.106042
 60-64 	1.688692	1.927678	1.475640
 65-69 	1.576694	1.967180	1.274639
 70-74 	1.672157	1.908772	1.518894
 75-79 	0.689830	1.288240	0.367343
 80+ 	0.000000	0.000000	0.000000
Total	3.287882	3.024992	3.544737
1992			
 0-4	1.470406	1.478424	1.462262
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	4.869693	3.086529	6.654615
 20-24 	12.743185	10.120486	15.341537
 25-29 	14.323970	12.897116	15.739480
 30-34 	13.062160	12.783255	13.336586
 35-39 	10.885984	11.037733	10.736727
 40-44 	8.650418	8.668091	8.633018
 45-49 	6.622687	6.358870	6.878380
 50-54 	4.954607	4.623779	5.264052
 55-59 	3.686513	3.623779	3.743634
 60-64 	2.948919	3.316120	2.622748
 65-69 	2.757939	3.384072	2.264304
 70-74 	2.928309	3.283026	2.696724
 75-79 	1.202197	2.215923	0.653801
 80+ 	0.000000	0.000000	0.000000
Total	5.818634	5.260489	6.363621
1993			
 0-4	2.530919	2.544568	2.517052
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	7.551684	4.703847	10.415834
 20-24 	19.806078	15.472509	24.139399
 25-29 	22.271891	19.756388	24.778460
 30-34 	20.279254	19.582475	20.965352
 35-39 	16.869864	16.890568	16.849670
 40-44 	13.391430	13.246623	13.532267
 45-49 	10.251258	9.707435	10.774472
 50-54 	7.665253	7.051730	8.236971
 55-59 	5.697761	5.524847	5.853670
 60-64 	4.545869	5.054628	4.098535
 65-69 	4.257878	5.158458	3.537019
 70-74 	4.527813	5.004492	4.213765
 75-79 	1.845402	3.374044	1.016950
 80+ 	0.000000	0.000000	0.000000
Total	9.070526	8.096246	10.021528
1994			
 0-4	3.895045	3.915595	3.874160
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	10.339451	6.324802	14.401869
 20-24 	27.184147	20.890001	33.589108
 25-29 	30.598536	26.727448	34.506104
 30-34 	27.827224	26.492176	29.151678
 35-39 	23.107321	22.824223	23.381382
 40-44 	18.321493	17.870708	18.752206
 45-49 	14.035803	13.091074	14.928651
 50-54 	10.484197	9.494478	11.394626
 55-59 	7.786284	7.439046	8.094528
 60-64 	6.191615	6.803501	5.662346
 65-69 	5.803280	6.943779	4.884778
 70-74 	6.189404	6.737894	5.824581
 75-79 	2.497450	4.532029	1.391839
 80+ 	0.000000	0.000000	0.000000
Total	12.459577	10.986936	13.897347
1995			
 0-4	5.426455	5.455685	5.396756
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	12.692606	7.660478	17.815698
 20-24 	33.439371	25.417330	41.801142
 25-29 	37.689579	32.559148	42.974976
 30-34 	34.255882	32.267558	36.259611
 35-39 	28.408457	27.769839	29.024607
 40-44 	22.505905	21.710560	23.252504
 45-49 	17.263544	15.907253	18.516153
 50-54 	12.878916	11.516103	14.108422
 55-59 	9.557909	9.025599	10.021341
 60-64 	7.576166	8.251562	7.003916
 65-69 	7.099820	8.422314	6.039606
 70-74 	7.598497	8.175351	7.210402
 75-79 	3.043172	5.484320	1.705958
 80+ 	0.000000	0.000000	0.000000
Total	15.320091	13.414258	17.182829
1996			
 0-4	6.979293	7.017748	6.940228
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	14.286811	8.510901	20.200169
 20-24 	37.647222	28.312607	47.606249
 25-29 	42.438116	36.302086	48.974924
 30-34 	38.591847	35.980550	41.286861
 35-39 	31.985240	30.939918	32.994253
 40-44 	25.333465	24.161374	26.413693
 45-49 	19.464988	17.711423	21.041472
 50-54 	14.509773	12.804111	16.011766
 55-59 	10.760277	10.038938	11.374562
 60-64 	8.501978	9.175703	7.944467
 65-69 	7.959794	9.365942	6.847105
 70-74 	8.554138	9.094682	8.186456
 75-79 	3.407560	6.086867	1.925457
 80+ 	0.000000	0.000000	0.000000
Total	17.236204	15.007343	19.418352
1997			
 0-4	8.442002	8.489620	8.393637
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	15.030544	8.890811	21.343354
 20-24 	39.538816	29.588600	50.391689
 25-29 	44.580771	37.966280	51.892312
 30-34 	40.588764	37.638392	43.725212
 35-39 	33.646856	32.351094	34.905009
 40-44 	26.655605	25.245428	27.934106
 45-49 	20.508733	18.511884	22.257729
 50-54 	15.286259	13.373557	16.928570
 55-59 	11.328774	10.489006	12.028225
 60-64 	8.928935	9.586091	8.398589
 65-69 	8.349462	9.784870	7.235263
 70-74 	9.004626	9.503620	8.661692
 75-79 	3.583190	6.353354	2.036251
 80+ 	0.000000	0.000000	0.000000
Total	18.127332	15.778687	20.431044
1998			
 0-4	9.764189	9.820287	9.707215
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	15.055429	8.853763	21.447930
 20-24 	39.465781	29.420610	50.608844
 25-29 	44.494136	37.771923	52.179308
 30-34 	40.559056	37.455489	43.960258
 35-39 	33.645404	32.191915	35.073799
 40-44 	26.669300	25.112465	28.065024
 45-49 	20.540448	18.415389	22.363771
 50-54 	15.322659	13.307079	17.015187
 55-59 	11.346296	10.437450	12.088753
 60-64 	8.926139	9.539896	8.442387
 65-69 	8.335575	9.737571	7.271240
 70-74 	9.015902	9.457343	8.710830
 75-79 	3.588376	6.322175	2.050258
 80+ 	0.000000	0.000000	0.000000
Total	18.169501	15.827103	20.470826
1999			
 0-4	10.918218	10.981562	10.853888
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	14.591739	8.542799	20.831429
 20-24 	38.088322	28.308080	49.042072
 25-29 	42.919998	36.356342	50.622240
 30-34 	39.160158	36.057899	42.649299
 35-39 	32.513074	30.998826	34.027096
 40-44 	25.786166	24.177602	27.222324
 45-49 	19.876037	17.728213	21.694630
 50-54 	14.850379	12.824164	16.523057
 55-59 	10.984484	10.054985	11.732387
 60-64 	8.632026	9.192981	8.198690
 65-69 	8.050768	9.383395	7.061460
 70-74 	8.725734	9.111066	8.460473
 75-79 	3.467523	6.094997	1.988718
 80+ 	0.000000	0.000000	0.000000
Total	17.659994	15.403979	19.878774
2000			
 0-4	11.871116	11.938437	11.802720
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	13.858590	8.129449	19.767047
 20-24 	36.045989	26.845122	46.385274
 25-29 	40.606086	34.483511	47.916799
 30-34 	37.076905	34.196696	40.372100
 35-39 	30.807595	29.414874	32.227570
 40-44 	24.435403	22.938719	25.774600
 45-49 	18.843813	16.817856	20.546530
 50-54 	14.103541	12.183533	15.669653
 55-59 	10.420880	9.546491	11.116476
 60-64 	8.188214	8.731460	7.775303
 65-69 	7.630136	8.912463	6.698519
 70-74 	8.277624	8.650508	8.024428
 75-79 	3.281734	5.785638	1.875132
 80+ 	0.000000	0.000000	0.000000
Total	16.878281	14.799102	18.923714
2001			
 0-4	12.615942	12.686932	12.543809
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	13.065733	7.681787	18.610755
 20-24 	33.876264	25.276064	43.521284
 25-29 	38.146266	32.460328	44.969154
 30-34 	34.828007	32.190880	37.891391
 35-39 	28.964456	27.704347	30.276235
 40-44 	22.969843	21.603569	24.204079
 45-49 	17.720133	15.836988	19.300114
 50-54 	13.283030	11.488673	14.736639
 55-59 	9.806516	8.996559	10.445817
 60-64 	7.706921	8.231662	7.312848
 65-69 	7.176077	8.402624	6.303070
 70-74 	7.789729	8.152545	7.548171
 75-79 	3.073214	5.446975	1.747867
 80+ 	0.000000	0.000000	0.000000
Total	16.040927	14.130575	17.919870
2002			
 0-4	13.124447	13.198534	13.049168
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	12.308428	7.252372	17.505380
 20-24 	31.824568	23.782406	40.803288
 25-29 	35.812985	30.523209	42.159002
 30-34 	32.693619	30.274186	35.535457
 35-39 	27.205383	26.066771	28.415003
 40-44 	21.569846	20.328558	22.708051
 45-49 	16.645780	14.900990	18.111055
 50-54 	12.490104	10.818917	13.838496
 55-59 	9.218289	8.469544	9.805309
 60-64 	7.245923	7.751933	6.869364
 65-69 	6.741627	7.913232	5.923750
 70-74 	7.321252	7.675784	7.090294
 75-79 	2.873290	5.120257	1.626777
 80+ 	0.000000	0.000000	0.000000
Total	15.243402	13.482092	16.974866
2003			
 0-4	13.161865	13.236611	13.085929
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	11.647796	6.875386	16.541685
 20-24 	30.035720	22.473137	38.436811
 25-29 	33.772501	28.816187	39.704535
 30-34 	30.829275	28.589021	33.485313
 35-39 	25.662452	24.623276	26.786888
 40-44 	20.342377	19.207106	21.402037
 45-49 	15.702508	14.077299	17.069478
 50-54 	11.788282	10.224068	13.046155
 55-59 	8.703606	8.005578	9.246820
 60-64 	6.839686	7.328158	6.479118
 65-69 	6.359101	7.480818	5.590155
 70-74 	6.908191	7.255189	6.686849
 75-79 	2.700661	4.831663	1.525788
 80+ 	0.000000	0.000000	0.000000
Total	14.512842	12.875674	16.121136
2004			
 0-4	12.870035	12.943669	12.795244
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	11.061612	6.538956	15.687649
 20-24 	28.444740	21.305179	36.335160
 25-29 	31.953789	27.287235	37.518655
 30-34 	29.168853	27.080718	31.665803
 35-39 	24.282222	23.326240	25.332604
 40-44 	19.246982	18.202782	20.240026
 45-49 	14.857113	13.337970	16.137753
 50-54 	11.157581	9.687339	12.335771
 55-59 	8.246142	7.590797	8.752012
 60-64 	6.474816	6.947505	6.128883
 65-69 	6.016508	7.092254	5.291355
 70-74 	6.537243	6.876884	6.324730
 75-79 	2.550160	4.574117	1.442801
 80+ 	0.000000	0.000000	0.000000
Total	13.832074	12.302308	15.333472
2005			
 0-4	12.501314	12.573691	12.427818
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	10.535133	6.235199	14.922523
 20-24 	27.021535	20.258543	34.456550
 25-29 	30.323785	25.913070	35.559026
 30-34 	27.675066	25.719338	30.034657
 35-39 	23.037146	22.150655	24.021269
 40-44 	18.264829	17.299112	19.199344
 45-49 	14.095036	12.670717	15.298848
 50-54 	10.590536	9.202604	11.697516
 55-59 	7.836883	7.218123	8.310239
 60-64 	6.145596	6.604364	5.813216
 65-69 	5.708291	6.741824	5.022353
 70-74 	6.202146	6.534686	5.997698
 75-79 	2.417111	4.344336	1.372634
 80+ 	0.000000	0.000000	0.000000
Total	13.212647	11.778255	14.618502
2006			
 0-4	12.115316	12.186190	12.043367
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	10.126808	5.995420	14.334005
 20-24 	25.931045	19.446960	33.022262
 25-29 	29.066596	24.841959	34.054898
 30-34 	26.523022	24.658636	28.781230
 35-39 	22.071687	21.238112	23.009963
 40-44 	17.506021	16.594897	18.402785
 45-49 	13.503432	12.149285	14.653019
 50-54 	10.152659	8.823434	11.207068
 55-59 	7.520849	6.926960	7.971195
 60-64 	5.889870	6.336141	5.570057
 65-69 	5.468840	6.467778	4.815103
 70-74 	5.941190	6.266364	5.744598
 75-79 	2.314982	4.167450	1.320801
 80+ 	0.000000	0.000000	0.000000
