Need for ART by age			
	Vietnam_test		
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1976			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1977			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1978			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1979			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1980			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1981			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1982			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1983			
 0-4	0.000000	0.000000	0.000000
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.000000	0.000000	0.000000
1984			
 0-4	0.005415	0.002774	0.002642
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.005415	0.002774	0.002642
1985			
 0-4	0.015753	0.008067	0.007686
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000000	0.000000	0.000000
 20-24 	0.000000	0.000000	0.000000
 25-29 	0.000000	0.000000	0.000000
 30-34 	0.000000	0.000000	0.000000
 35-39 	0.000000	0.000000	0.000000
 40-44 	0.000000	0.000000	0.000000
 45-49 	0.000000	0.000000	0.000000
 50-54 	0.000000	0.000000	0.000000
 55-59 	0.000000	0.000000	0.000000
 60-64 	0.000000	0.000000	0.000000
 65-69 	0.000000	0.000000	0.000000
 70-74 	0.000000	0.000000	0.000000
 75-79 	0.000000	0.000000	0.000000
 80+ 	0.000000	0.000000	0.000000
Total	0.015753	0.008067	0.007686
1986			
 0-4	0.033919	0.017368	0.016552
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000105	0.000088	0.000017
 20-24 	0.000587	0.000521	0.000066
 25-29 	0.002283	0.002076	0.000207
 30-34 	0.002208	0.002035	0.000173
 35-39 	0.002225	0.002058	0.000167
 40-44 	0.001588	0.001466	0.000122
 45-49 	0.002726	0.002499	0.000227
 50-54 	0.002504	0.002279	0.000225
 55-59 	0.001602	0.001457	0.000144
 60-64 	0.001148	0.001059	0.000088
 65-69 	0.000864	0.000810	0.000054
 70-74 	0.000664	0.000609	0.000054
 75-79 	0.000323	0.000301	0.000021
 80+ 	0.000043	0.000043	0.000000
Total	0.052789	0.034669	0.018117
1987			
 0-4	0.071507	0.036614	0.034893
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.000515	0.000425	0.000090
 20-24 	0.004088	0.003587	0.000501
 25-29 	0.015613	0.014095	0.001518
 30-34 	0.016504	0.015133	0.001372
 35-39 	0.015128	0.013948	0.001180
 40-44 	0.010606	0.009761	0.000845
 45-49 	0.014654	0.013390	0.001263
 50-54 	0.014003	0.012693	0.001310
 55-59 	0.009370	0.008475	0.000896
 60-64 	0.006357	0.005821	0.000535
 65-69 	0.004798	0.004471	0.000327
 70-74 	0.003619	0.003325	0.000294
 75-79 	0.001971	0.001808	0.000162
 80+ 	0.000352	0.000351	0.000001
Total	0.189085	0.143897	0.045187
1988			
 0-4	0.152540	0.078127	0.074414
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.001078	0.000877	0.000201
 20-24 	0.012128	0.010504	0.001624
 25-29 	0.047177	0.042274	0.004903
 30-34 	0.053235	0.048526	0.004709
 35-39 	0.047582	0.043735	0.003847
 40-44 	0.031721	0.029087	0.002634
 45-49 	0.038326	0.034921	0.003405
 50-54 	0.036023	0.032529	0.003494
 55-59 	0.025512	0.022955	0.002557
 60-64 	0.016526	0.015034	0.001493
 65-69 	0.012585	0.011658	0.000927
 70-74 	0.009236	0.008485	0.000751
 75-79 	0.005458	0.004953	0.000505
 80+ 	0.001144	0.001125	0.000019
Total	0.490271	0.384790	0.105483
1989			
 0-4	0.325954	0.167072	0.158882
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.001702	0.001380	0.000322
 20-24 	0.027179	0.023344	0.003835
 25-29 	0.109434	0.097655	0.011779
 30-34 	0.129479	0.117618	0.011860
 35-39 	0.117369	0.107757	0.009613
 40-44 	0.075050	0.068738	0.006313
 45-49 	0.082745	0.075344	0.007401
 50-54 	0.074654	0.067340	0.007313
 55-59 	0.055467	0.049821	0.005646
 60-64 	0.035224	0.031952	0.003271
 65-69 	0.026939	0.024879	0.002060
 70-74 	0.019402	0.017835	0.001567
 75-79 	0.011969	0.010827	0.001142
 80+ 	0.002756	0.002678	0.000078
Total	1.095323	0.864240	0.231082
1990			
 0-4	0.687576	0.352805	0.334772
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.003544	0.002886	0.000658
 20-24 	0.055134	0.047146	0.007987
 25-29 	0.232970	0.207330	0.025640
 30-34 	0.284046	0.257414	0.026632
 35-39 	0.266594	0.244516	0.022077
 40-44 	0.167960	0.153780	0.014180
 45-49 	0.172010	0.156481	0.015528
 50-54 	0.148741	0.134032	0.014709
 55-59 	0.113680	0.101984	0.011696
 60-64 	0.073081	0.066193	0.006888
 65-69 	0.055524	0.051187	0.004337
 70-74 	0.039923	0.036668	0.003256
 75-79 	0.024846	0.022470	0.002376
 80+ 	0.006014	0.005816	0.000198
Total	2.331643	1.840708	0.490934
1991			
 0-4	1.448172	0.743932	0.704241
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.007807	0.006352	0.001455
 20-24 	0.113605	0.097099	0.016506
 25-29 	0.492623	0.437918	0.054704
 30-34 	0.613809	0.555672	0.058137
 35-39 	0.599494	0.549635	0.049859
 40-44 	0.383157	0.351050	0.032107
 45-49 	0.364756	0.331697	0.033059
 50-54 	0.305677	0.275387	0.030290
 55-59 	0.235565	0.211272	0.024292
 60-64 	0.157009	0.142198	0.014811
 65-69 	0.117453	0.108241	0.009213
 70-74 	0.085435	0.078425	0.007009
 75-79 	0.052580	0.047616	0.004964
 80+ 	0.013100	0.012648	0.000452
Total	4.990242	3.949142	1.041099
1992			
 0-4	2.974163	1.529242	1.444920
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.017252	0.014091	0.003161
 20-24 	0.241472	0.206701	0.034771
 25-29 	1.056055	0.939168	0.116887
 30-34 	1.336960	1.210580	0.126380
 35-39 	1.351175	1.239160	0.112015
 40-44 	0.899531	0.825541	0.073990
 45-49 	0.788296	0.717094	0.071202
 50-54 	0.646450	0.582852	0.063598
 55-59 	0.492286	0.441804	0.050482
 60-64 	0.347136	0.314675	0.032461
 65-69 	0.252483	0.232839	0.019644
 70-74 	0.188155	0.172757	0.015398
 75-79 	0.113254	0.102745	0.010509
 80+ 	0.029154	0.028154	0.000999
Total	10.733822	8.557403	2.176417
1993			
 0-4	5.883041	3.026787	2.856254
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.037094	0.030382	0.006712
 20-24 	0.518965	0.445066	0.073900
 25-29 	2.277595	2.027759	0.249836
 30-34 	2.917809	2.644355	0.273454
 35-39 	3.030040	2.780461	0.249580
 40-44 	2.123850	1.952942	0.170908
 45-49 	1.722986	1.568536	0.154450
 50-54 	1.379980	1.245645	0.134335
 55-59 	1.024141	0.919968	0.104173
 60-64 	0.768791	0.697696	0.071095
 65-69 	0.543369	0.501577	0.041793
 70-74 	0.415851	0.381968	0.033883
 75-79 	0.244631	0.222281	0.022350
 80+ 	0.065139	0.062949	0.002190
Total	22.953282	18.508372	4.444913
1994			
 0-4	11.214543	5.772493	5.442051
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.078448	0.064384	0.014064
 20-24 	1.114025	0.956860	0.157166
 25-29 	4.901282	4.369040	0.532242
 30-34 	6.340553	5.752520	0.588033
 35-39 	6.734354	6.183896	0.550458
 40-44 	4.949509	4.558712	0.390797
 45-49 	3.817622	3.479684	0.337938
 50-54 	2.942477	2.658882	0.283595
 55-59 	2.120274	1.906350	0.213924
 60-64 	1.673804	1.520628	0.153176
 65-69 	1.169635	1.080652	0.088984
 70-74 	0.909193	0.835448	0.073745
 75-79 	0.528746	0.480937	0.047809
 80+ 	0.143769	0.139043	0.004726
Total	48.638234	39.759529	8.878708
1995			
 0-4	20.569767	10.591894	9.977873
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.163040	0.134198	0.028842
 20-24 	2.375558	2.043981	0.331576
 25-29 	10.416134	9.297190	1.118945
 30-34 	13.616897	12.368933	1.247964
 35-39 	14.735580	13.543776	1.191805
 40-44 	11.247256	10.373721	0.873535
 45-49 	8.550318	7.809344	0.740975
 50-54 	6.214055	5.621918	0.592138
 55-59 	4.355464	3.920640	0.434824
 60-64 	3.535707	3.215903	0.319805
 65-69 	2.505613	2.317282	0.188331
 70-74 	1.945000	1.788636	0.156365
 75-79 	1.136889	1.034855	0.102034
 80+ 	0.310630	0.300561	0.010068
Total	101.677908	84.362832	17.315080
1996			
 0-4	36.521798	18.812336	17.709463
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.332330	0.274490	0.057840
 20-24 	4.963548	4.278456	0.685092
 25-29 	21.765329	19.453809	2.311519
 30-34 	28.754325	26.153570	2.600755
 35-39 	31.586418	29.064708	2.521709
 40-44 	24.892775	22.988737	1.904038
 45-49 	19.221426	17.600588	1.620838
 50-54 	12.966357	11.746279	1.220078
 55-59 	8.842794	7.971138	0.871656
 60-64 	7.241608	6.594679	0.646929
 65-69 	5.311572	4.917581	0.393992
 70-74 	4.063396	3.740655	0.322741
 75-79 	2.415670	2.200381	0.215289
 80+ 	0.657363	0.636132	0.021231
Total	209.536709	176.433539	33.103170
1997			
 0-4	62.540945	32.225587	30.315358
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.661558	0.547434	0.114124
 20-24 	10.109548	8.726909	1.382639
 25-29 	44.530332	39.841910	4.688422
 30-34 	59.407841	54.094815	5.313026
 35-39 	65.953140	60.747872	5.205269
 40-44 	53.459372	49.414899	4.044473
 45-49 	42.901225	39.379748	3.521478
 50-54 	26.551418	24.075140	2.476278
 55-59 	17.668225	15.944845	1.723380
 60-64 	14.299912	13.032386	1.267526
 65-69 	11.074694	10.260945	0.813750
 70-74 	8.235875	7.588771	0.647104
 75-79 	5.039162	4.591140	0.448022
 80+ 	1.358627	1.314661	0.043966
Total	423.791874	361.787062	62.004815
1998			
 0-4	102.033730	52.592036	49.441694
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	1.255706	1.036816	0.218890
 20-24 	19.861460	17.143958	2.717502
 25-29 	88.255663	78.957360	9.298302
 30-34 	118.928288	108.327140	10.601148
 35-39 	132.773171	122.328632	10.444538
 40-44 	110.365241	102.029858	8.335383
 45-49 	92.763857	85.269168	7.494689
 50-54 	53.115151	48.162504	4.952647
 55-59 	34.240582	30.898150	3.342432
 60-64 	26.977208	24.573394	2.403815
 65-69 	22.200594	20.563418	1.637176
 70-74 	16.041639	14.782410	1.259229
 75-79 	10.134624	9.225145	0.909480
 80+ 	2.732056	2.641920	0.090136
Total	831.678970	718.531909	113.147061
1999			
 0-4	156.661139	80.772496	75.888642
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	2.189397	1.789287	0.400110
 20-24 	36.931809	31.765013	5.166797
 25-29 	166.350176	148.462092	17.888084
 30-34 	226.499676	206.007224	20.492452
 35-39 	253.068121	232.849085	20.219036
 40-44 	215.261850	198.739523	16.522327
 45-49 	187.959176	172.639955	15.319221
 50-54 	102.577442	92.852351	9.725091
 55-59 	62.734833	56.451609	6.283224
 60-64 	47.843692	43.446779	4.396913
 65-69 	41.294902	38.154837	3.140065
 70-74 	29.494878	27.126515	2.368363
 75-79 	19.088555	17.317116	1.771439
 80+ 	5.280742	5.096943	0.183799
Total	1553.236388	1353.470825	199.765563
2000			
 0-4	226.332203	116.728462	109.603741
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	3.367220	2.691260	0.675960
 20-24 	63.461905	54.095782	9.366122
 25-29 	292.047273	259.136225	32.911049
 30-34 	401.097538	363.272058	37.825480
 35-39 	447.384255	410.131989	37.252266
 40-44 	388.380966	357.344396	31.036569
 45-49 	347.097173	317.658923	29.438250
 50-54 	187.029285	168.589243	18.440042
 55-59 	106.010759	94.759793	11.250966
 60-64 	78.214884	70.554560	7.660324
 65-69 	69.127130	63.512784	5.614346
 70-74 	50.031794	45.790164	4.241629
 75-79 	32.767373	29.520305	3.247069
 80+ 	9.593381	9.224098	0.369283
Total	2701.943139	2363.010042	338.933096
2001			
 0-4	309.648914	159.753370	149.895543
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	4.506613	3.472989	1.033624
 20-24 	99.390094	83.420734	15.969360
 25-29 	468.892117	411.950999	56.941118
 30-34 	654.825398	588.749433	66.075965
 35-39 	725.954238	661.361281	64.592957
 40-44 	640.450032	585.878420	54.571612
 45-49 	580.189289	527.581459	52.607830
 50-54 	315.943622	282.804084	33.139537
 55-59 	163.987356	145.022447	18.964909
 60-64 	116.719246	104.173992	12.545254
 65-69 	103.457725	94.191621	9.266104
 70-74 	77.373440	70.241779	7.131661
 75-79 	50.773133	45.242659	5.530474
 80+ 	16.055481	15.340883	0.714598
Total	4328.166698	3779.186150	548.980546
2002			
 0-4	330.143637	170.380942	159.762696
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.380502	3.945570	1.434932
 20-24 	141.575408	116.205420	25.369987
 25-29 	688.670415	596.652431	92.017984
 30-34 	985.054430	876.488884	108.565546
 35-39 	1084.340294	979.355223	104.985071
 40-44 	966.651077	877.279030	89.372047
 45-49 	883.515424	796.339170	87.176254
 50-54 	494.192746	438.198931	55.993815
 55-59 	233.572515	203.619622	29.952893
 60-64 	160.313739	141.054104	19.259635
 65-69 	139.465052	125.396365	14.068687
 70-74 	109.890893	98.656141	11.234753
 75-79 	71.335683	62.636987	8.698696
 80+ 	24.665347	23.355457	1.309889
Total	6318.767162	5509.564277	809.202885
2003			
 0-4	364.812877	188.467885	176.344992
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	5.980300	4.150179	1.830121
 20-24 	185.009661	147.558831	37.450830
 25-29 	934.549801	795.551718	138.998082
 30-34 	1376.757618	1209.138461	167.619157
 35-39 	1508.243029	1347.955075	160.287954
 40-44 	1351.503036	1214.815630	136.687406
 45-49 	1244.824733	1110.353004	134.471729
 50-54 	718.524227	630.016118	88.508109
 55-59 	313.820517	269.119471	44.701046
 60-64 	205.925201	178.117130	27.808072
 65-69 	173.092468	153.285837	19.806632
 70-74 	144.636216	128.109062	16.527154
 75-79 	92.772548	80.047460	12.725088
 80+ 	34.978762	32.735550	2.243212
Total	8655.430994	7489.421411	1166.009584
2004			
 0-4	410.279676	212.431077	197.848599
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	6.384469	4.209248	2.175221
 20-24 	224.911242	173.398915	51.512327
 25-29 	1187.549335	990.255762	197.293573
 30-34 	1809.366276	1565.409170	243.957106
 35-39 	1978.034513	1747.107402	230.927111
 40-44 	1777.268679	1580.695754	196.572925
 45-49 	1649.356030	1454.868262	194.487768
 50-54 	977.610412	846.806422	130.803990
 55-59 	408.378170	344.492889	63.885281
 60-64 	251.255937	213.263481	37.992456
 65-69 	202.962094	176.720600	26.241494
 70-74 	177.687556	155.043024	22.644532
 75-79 	114.454588	96.904156	17.550432
 80+ 	46.308001	42.739193	3.568808
Total	11221.806978	9604.345355	1617.461623
2005			
 0-4	444.606788	230.950800	213.655988
 5-9	0.274685	0.142910	0.131775
 10-14 	0.000000	0.000000	0.000000
 15-19 	6.620364	4.165598	2.454766
 20-24 	257.556936	191.212811	66.344125
 25-29 	1430.051436	1165.132615	264.918821
 30-34 	2262.774686	1926.242596	336.532090
 35-39 	2468.596736	2152.982304	315.614432
 40-44 	2227.070430	1959.079306	267.991125
 45-49 	2080.345720	1814.547253	265.798467
 50-54 	1257.601632	1075.879837	181.721794
 55-59 	521.989395	433.766604	88.222792
 60-64 	295.336062	245.796516	49.539545
 65-69 	229.282388	196.109194	33.173194
 70-74 	205.587081	176.581088	29.005993
 75-79 	136.206874	113.131870	23.075003
 80+ 	58.025781	52.724735	5.301046
Total	13881.926994	11738.446037	2143.480956
2006			
 0-4	499.095954	260.298630	238.797324
 5-9	1.558110	0.811389	0.746721
 10-14 	0.000000	0.000000	0.000000
 15-19 	6.774981	4.093246	2.681734
 20-24 	282.163495	201.444317	80.719178
 25-29 	1670.787732	1329.596204	341.191528
 30-34 	2752.729962	2307.260664	445.469298
 35-39 	3032.533331	2615.089542	417.443789
 40-44 	2750.380583	2397.301647	353.078935
 45-49 	2577.956608	2228.488171	349.468437
 50-54 	1593.810674	1350.808351	243.002323
 55-59 	674.166707	554.585356	119.581351
 60-64 	347.829799	284.757097	63.072703
 65-69 	259.015881	218.138144	40.877736
 70-74 	233.210300	197.650362	35.559938
